UniversityName,CountryName,Campus,Ranking, ApplicationFees,AverageFees,PopularCategories,OfferTAT,Founded,InstitutionType,CostOfLiving,AdmissionRequirement,UGCOURSE,GrossTuition,PGCOURSE,Amount
Anglia Ruskin University,UK,Cambridgeshire,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,"Agriculture,Animal science, Accounts,Architect, Cyber Security,Media Production, Fine Art, Forensic, History, Illustration, Interior design, Engineering, Pharamaceutical, Philosophy, Photography, Public Health",2 working days except few courses which requires faculty approval,1858,UNIVERSITY,"£12,180.00 GBP / Year","Academic Requirement - 12th - 50% for (West Bengal), 55% for (CBSE,Delhi,Mumbai, Tamil Nadu), Overall 60% . For PG - 60%. ENGLISH REQUIREMENT: 65%, IELTS (6.0/5.5) PTE (60/59), TOEFL (80)","BA (HONS) Fashion Communication and Branding,",£ 16700,MSC Animal Behaviour Applications for Conservation,£ 17700
Anglia Ruskin University,UK,Cambridgeshire,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,,,,UNIVERSITY,,,BA (HONS) Criminology,£ 15500,MSC Applied Data Science (Conversion),£ 17700
Anglia Ruskin University,UK,Cambridgeshire,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,,,,UNIVERSITY,,,BSC (HONS) Computer Games Technology,£ 15900,MA Applied Linguistics and TESOL,£ 16700
Anglia Ruskin University,UK,London Campus,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,"MBA Health and Social Care,MBA International,MSc International Project Management,MSc International Marketing,MSc Accounting and Financial management,LLM Law, MSc International Hospitality and Tourism Management",2 working days except few courses which requires faculty approval,1858,UNIVERSITY,"£12,180.00 GBP / Year","Academic Requirement - 12th - 50% for (West Bengal), 55% for (CBSE,Delhi,Mumbai, Tamil Nadu), Overall 60% . ENGLISH REQUIREMENT: 65%, IELTS (6.0/5.5) PTE (60/59), TOEFL (80)",BSC (HONS) Artificial Intelligence,£ 16700,MBA Agribusiness,£ 16700
Anglia Ruskin University,UK,London Campus,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,,,,UNIVERSITY,,,BSC (HONS) Cyber Security,£ 16700,MA Children's Book Illustration,£ 19100
Anglia Ruskin University,UK,London Campus,"97th rank in UK,  501- 550 in QS Ranking",0,14000 GBP,,,,UNIVERSITY,,,BSC (HONS) Agriculture,£ 15900,MSC Town Planning,£ 17700
De Montfort University,UK,Leicester Campus,"601-608 in UK,  801-850 in QS",0,15000 GBP,"Engineering BE/ME, BA, BSC",3-4 Days,1870,UNIVERSITY,"£12,000.00 GBP / Year","Academic Requirement - 12th -60%, For PG - 60%. English Waiver - 65%",Concept and Comic Arts BA (Hons),£ 16250,Pharmaceutical Biotechnology MSc,£ 16800
De Montfort University,UK,Leicester Campus,"601-608 in UK,  801-850 in QS",0,15000 GBP,,,,UNIVERSITY,,,Advertising and Marketing Communications BA (Hons),£ 15750,Sustainable Textiles Technologies MSc,£ 15800
De Montfort University,UK,Leicester Campus,"601-608 in UK,  801-850 in QS",0,15000 GBP,,,,UNIVERSITY,,,Business Management and Human Resource Management BA (Hons),£ 15250,Digital Forensics MSc,£ 19280
Durham University,UK,"Durham, England","6th place in UK, 78th place in QS",0,20700 GBP,"Archaeology, Theology",6-8 Weeks,1832,UNIVERSITY,"£12,000.00 GBP / Year","Academic Requirement - 12th - 80%, for PG -80%. IELTS -(7.0/6.5) ",Archaeology BSc,£ 20500,Advanced Mechanical Engineering MSc,£ 30250
