Country,University Name,Founded,Institution Type,Campus,Email,Website,Ranking,Course Type,Application Fees,Application Fees Waiver,Cost of Living,Average Fees,Popular Categories,Admission Requirement,Offer TAT,About,Academic Requirement
United Kingdom,Staffordshire University,1992,Public,"Stoke-on-Trent, Staffordshire",enquiries@staffs.ac.uk,(link unavailable),78th (The Guardian University Guide 2022),"Undergraduate, Postgraduate, Research","£13 (UG), £20 (PG)",Available for some programs,"£8,000 - £10,000 per year","£14,500 (UG), £12,500 (PG)","Business, Education, Health, Computing","50% (UG), 45% (PG)",2-4 weeks,"Modern UK university, strong industry links, diverse community","Standard XII (UG), Bachelor's degree (PG)"
UK,Northumbria University,1969,public,"London,New castle,Northumbria",@northumbria.ac.uk,www.northumbria.ac.uk,35,"UG,PG",NIL,NIL,"£13,790","£11,400","Design,Engineering,Computing,Business,Accounting","IELTS: 6.0 (with no band less than 5.5),TOEFL: 80 (with no section less than 16), PTE: 54 (with no component les",2-4 weeks,"Northumbria University is a public research university located in Newcastle upon Tyne, England, with a rich history dating back to 1969. Initially founded as the Newcastle Polytechnic, it gained university status in 1992 and was renamed the University of Northumbria. In 2002, it was rebranded as Northumbria University, reflecting its growing reputation and academic excellence.","70-80% (HSC) for UG,50-60% (UG)"
UK,University of East london,1963,UK,"Norwich, England, UK",international@uel.ac.uk.,www.uel.ac.uk,88,"UG,PG",NIL,,"£12,000","£13,750","Business and Management,Computing and Information Technology,Engineering,Health and Social Care,Law,Psychology",IELTS score of 5.5-6.0 for UG and 6.0-6.5 PG,2-4 weeks,"University of East London (UEL): Diverse, vibrant, and inclusive institution offering quality education and research opportunities in London's East End.","60-70% or above HSC,50-60% UG"
UK,University of Stirling,1967,public,"Scotland, UK",ask@stir.ac.uk,www.stir.ac.uk,40,"UG,PG",NIL,NIL,"£17,400","£13,650","Arts and science,Engineering,Businees,Education,Social science",IELTS: 6.0 overall (5.5 in each band),2-4 weeks,"Scottish university offering academic excellence, research opportunities, and a vibrant campus life since 1967.","Minimum 65% UG,Miimum 55% PG"
UK,University of Leicester,1921,public,"Leicester, England, UK",study@le.ac.uk,www.le.ac.uk,24,"UG,PG",NIL,NIL,"£23,620","£18,445","Aeronautical & Aerospace Engineering,Archaeology,Biological Sciences,Biomedical Sciences,Chemistry,Classics","IELTS UG 6.0 overall (5.5 in each band, PG 6.5 overall (6.0 in each band)",2-4 weeks,"A leading UK university, founded in 1921, offering academic excellence, research opportunities, and a diverse community.","65% in HSC, 55% in UG"
UK,University of west london,1860,public,"Ealing, London, UK",student.services@uwl.ac.uk.,www.uwl.ac.uk,34,"UG,PG",NIL,NIL,"£18,300","£18,300","Business and Management,Computing and Information Technology,Engineering,Health and Social Care,Law,Psychology","IELTS UG 6.0 overall (5.5 in each band)
 ,PG 6.5 overall (6.0 in each band)",2-4 weeks,"A modern UK university, offering industry-led courses, research opportunities, and a diverse community in London.","60% in HSC ,50% in UG"
UK,University of Sunderland,1901,public,"Sunderland, Tyne and Wear, UK",student.helpline@sunderland.ac.uk,www.sunderland.ac.uk,77,"UG,PG",NIL,NIL,"£21,500","£17,500","Arts and science,Engineering,Businees,Education,Social science","IELTS 
 UG 6.0 overall (5.5 in each band)
 PG 6.5 overall (6.0 in each band)",2-4 weeks,"A modern UK university, offering industry-led courses, research opportunities, and a supportive community in North East England.","55% in HSC ,50% in UG"
UK,Nottingham Trent University,1843,public,"Nottingham, England, UK",student.support@ntu.ac.uk,www.ntu.ac.uk,16,"UG,PG",NIL,NIL,"£21,250","£18,250","Accounting, finance and economics,Agriculture and food science,Animal, equine and wildlife,Architecture and civil engineering,Art and design","IELTS 
 UG 6.0 overall (5.5 in each band)
 PG 6.5 overall (6.0 in each band)",2-4 weeks,"A modern UK university, offering industry-led courses, research opportunities, and a vibrant student experience in Nottingham.","60% in HSC ,55% in UG"
UK,Birmingham City University,1843,public,"Birmingham, England, UK",welcome@contacts.bham.ac.uk.,www.bcu.ac.uk,26,"UG,PG",NIL,NIL,"£21,000","£18,000","Arts, Design, and Media,Business, Law, and Social Sciences,Computing, Engineering and Built Environment,Education, Health, and Wellbeing,Life Scie","IELTS 
 UG 6.0 overall (5.5 in each band)
 PG 6.5 overall (6.0 in each band)",2-4 weeks,"Birmingham University, a leading UK institution, offers diverse programs, strong research, and vibrant campus life in a dynamic city.","55% in HSC ,50% in UG"
UK,Leeds Beckett University,1824,public,"Leeds, West Yorkshire, England, UK",studentadvice@leedsbeckett.ac.uk,www.leedsbeckett.ac.uk,108,"UG,PG",NIL,NIL,"£20,500","£16,500","Arts and Humanities,Business and Management,Computing, Creative Technologies and Engineering,Education,Health and Social Sciences,Law,Sport","IELTS 
 UG 6.0 overall (5.5 in each band)
 PG 6.5 overall (6.0 in each band)",2-4 weeks,"Offering industry-led courses, research opportunities, and a vibrant student experience in the heart of Leeds.","50% in HSC ,40% in UG"
