Country,UniversityName,Campus,CourseType,ProgramTitle,ApplicationFee,Currency,Amount,DiscountedValue,CourseFee,InTake,Duration,EnglishlanguageTest,TextBox,UniversityInterview,GreGmatRequirement,Score,AcademicRequirement,Commission
UK,University of Leicester,"London, Oxford",PG,M.sc ,0,GBP,5000,5%,30000,Summer,12 Month,Yes,TOFEL,No,Yes,60%,"The University of Oxford is a collegiate research university in Oxford, England. There is evidence of teaching as early as 1096, making it the oldest university in the English-speaking world and the world's second-oldest university in continuous operation",70%
Canada,Acadia University,"Wolfille, Nova Scotia ",UG,Bachelor of Arts-Classical studies,$40.00 CAD,CAD,5000,5%,"$19,543.00 CAD / Year",Summer,4 Years,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-70%, IELTS-6.5,TOEFL-90,PTE-61,Duolingo-115",70%
Canada,Acadia University,"Wolfille, Nova Scotia ",UG,Bachelor of Arts-History(OptionalCo-Op),$40.00 CAD,CAD,5000,5%,"$19,543.00 CAD / Year",Summer,4 Years,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-70%, IELTS-6.5,TOEFL-90,PTE-61,Duolingo-115",70%
Canada,Langara College,"Vancouver,British columbia",UG,Bachelor of Business Administration - International Business Management (Optional Co-op),$155.00 CAD,CAD,5000,5%,"$21,530.00 CAD / Year",Summer,4 Years,Yes,IELTS/TOEFL,Yes,Yes,50%,"Grade 12 / High School-50%,IELTS-6.5,TOEFL-80",70%
Canada,Langara College,"Vancouver,British columbia",UG,Bachelor of Business Administration - Accounting (Optional Co-op),$155.00 CAD,CAD,5000,5%,"$21,530.00 CAD / Year",Summer,4 Years,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,50%,"Grade 12 / High School-50%,IELTS-6.5,TOEFL-80,Duolingo-110",70%
Canada,Langara College,"Vancouver,British columbia",PG,Post-Degree Diploma - Applied Planning,$155.00 CAD,CAD,5000,5%,"$23,019.00 CAD / Year",Summer,1 Year,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,50%,"3-Year Bachelor's Degree-50%,IELTS-6.5,TOEFL-88,Duolingo-110",70%
Canada,Langara College,"Vancouver,British columbia",PG,Post-Degree Diploma - Nursing Practice in Canada,$155.00 CAD,CAD,5000,5%,"$15,045.00 CAD / Year",Summer,2 Year,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,50%,"3-Year Undergraduate Advanced Diploma-50%,IELTS-6.5,TOEFL-88,Duolingo-110",70%
Canada,Langara College,"Vancouver,British columbia",PG,Post-Degree Diploma - Data Analytics,$155.00 CAD,CAD,5000,5%,"$15,045.00 CAD / Year",Summer,16-24 month,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,50%,"3-Year Bachelor's Degree-50%,IELTS-6.5,TOEFL-88,Duolingo-110",70%
Canada,Columbia College,"Vancouver,British columbia",UG,Bachelor of Arts - University Transfer,$200.00 CAD,CAD,5000,5%,"$17,550.00 CAD / Year",Summer,1-2 year ,Yes,IELTS/TOEFL,Yes,Yes,50%,Grade 12 / High School-60%,70%
Canada,Columbia College,"Vancouver,British columbia",UG,Bachelor of Science - Business - University Transfer,$200.00 CAD,CAD,5000,5%,"$17,550.00 CAD / Year",Summer,1-2 year transfer program to bachelor's degree completion,Yes,IELTS/TOEFL,Yes,Yes,50%,"Grade 12 / High School-60%,IELTS-6.5,TOEFL-79",70%
UK,Middlesex University,"London,Greater London",UG,Bachelor of Arts (Honours) - 3D Animation and Games,£0.00 GBP,GBP,5000,5%,"£16,600.00 GBP / Year",Fall,3-Year Bachelor's Degree,Yes,IELTS/TOEFL/PTE,Yes,Yes,70%,"1-Year Post-Secondary Certificate-70%,IELTS-6.0,PTE-59,TOEFL-72",70%
UK,Middlesex University,"London,Greater London",UG,Bachelor of Arts (Honours) - Accounting and Finance,£0.00 GBP,GBP,5000,5%,"£16,600.00 GBP / Year",Fall,3 year bachelor's degree plus an optional placement year,Yes,IELTS/TOEFL/PTE,Yes,Yes,65%,"1-Year Post-Secondary Certificate-65%,IELTS-6.0,PTE-59,TOEFL-72",70%
UK,Middlesex University,"London,Greater London",PG,Master of Arts - Human Resource Management and Development,£0.00 GBP,GBP,5000,5%,"£16,800.00 GBP / Year",Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE,Yes,Yes,70%,"4-Year Bachelor's Degree-70%,IELTS-6.5,TOEFL-87,PTE-59",70%
